file_name,class,xmin,ymin,xmax,ymax,height,width
0001eeaf4aed83f9.jpg,Airplane,23,31,987,357,447,1024
000595fe6fee6369.jpg,Food,0,0,1024,681,681,1024
000595fe6fee6369.jpg,Fruit,144,460,183,498,681,1024
000595fe6fee6369.jpg,Fruit,218,203,259,241,681,1024
000595fe6fee6369.jpg,Fruit,238,333,295,371,681,1024
000595fe6fee6369.jpg,Fruit,251,372,298,412,681,1024
000595fe6fee6369.jpg,Fruit,251,449,297,487,681,1024
000595fe6fee6369.jpg,Fruit,253,258,291,297,681,1024
000595fe6fee6369.jpg,Fruit,253,413,301,459,681,1024
000595fe6fee6369.jpg,Fruit,277,406,313,448,681,1024
000595fe6fee6369.jpg,Fruit,289,228,349,291,681,1024
000595fe6fee6369.jpg,Fruit,324,120,369,167,681,1024
000595fe6fee6369.jpg,Fruit,358,409,393,456,681,1024
000595fe6fee6369.jpg,Fruit,363,442,410,495,681,1024
000595fe6fee6369.jpg,Fruit,384,403,437,449,681,1024
000595fe6fee6369.jpg,Fruit,389,261,606,422,681,1024
000595fe6fee6369.jpg,Fruit,416,169,461,206,681,1024
000595fe6fee6369.jpg,Fruit,437,486,478,526,681,1024
000595fe6fee6369.jpg,Fruit,443,406,508,466,681,1024
000595fe6fee6369.jpg,Fruit,444,501,494,554,681,1024
000595fe6fee6369.jpg,Fruit,467,138,624,344,681,1024
000595fe6fee6369.jpg,Fruit,564,439,610,484,681,1024
000595fe6fee6369.jpg,Fruit,618,308,659,354,681,1024
000595fe6fee6369.jpg,Fruit,631,200,686,252,681,1024
000595fe6fee6369.jpg,Fruit,645,357,696,401,681,1024
000595fe6fee6369.jpg,Fruit,646,477,693,525,681,1024
000595fe6fee6369.jpg,Fruit,654,92,699,137,681,1024
000595fe6fee6369.jpg,Fruit,687,197,735,241,681,1024
000595fe6fee6369.jpg,Fruit,758,108,809,166,681,1024
00075905539074f2.jpg,Clothing,111,258,265,407,914,1024
00075905539074f2.jpg,Clothing,344,52,648,580,914,1024
00075905539074f2.jpg,Clothing,719,228,987,763,914,1024
00075905539074f2.jpg,Human body,15,94,339,597,914,1024
00075905539074f2.jpg,Human body,337,0,662,604,914,1024
00075905539074f2.jpg,Human body,700,171,1013,858,914,1024
00075905539074f2.jpg,Mammal,8,99,332,604,914,1024
00075905539074f2.jpg,Mammal,340,0,660,608,914,1024
00075905539074f2.jpg,Mammal,697,164,1011,861,914,1024
00075905539074f2.jpg,Footwear,26,505,89,576,914,1024
00075905539074f2.jpg,Footwear,286,522,333,606,914,1024
00075905539074f2.jpg,Footwear,405,503,478,529,914,1024
00075905539074f2.jpg,Footwear,592,571,618,608,914,1024
00075905539074f2.jpg,Footwear,700,256,788,321,914,1024
00075905539074f2.jpg,Footwear,940,823,1013,859,914,1024
00075905539074f2.jpg,Sports equipment,15,253,69,319,914,1024
00075905539074f2.jpg,Sports equipment,113,260,265,407,914,1024
00075905539074f2.jpg,Sports equipment,199,110,260,167,914,1024
00075905539074f2.jpg,Sports equipment,700,253,789,323,914,1024
00075905539074f2.jpg,Sports equipment,721,225,987,749,914,1024
00075905539074f2.jpg,Sports equipment,737,171,823,234,914,1024
00075905539074f2.jpg,Sports equipment,898,744,969,835,914,1024
00075905539074f2.jpg,Sports equipment,936,819,1018,861,914,1024
00075905539074f2.jpg,Sports equipment,941,347,999,424,914,1024
00075905539074f2.jpg,Sports equipment,945,344,999,405,914,1024
00075905539074f2.jpg,Sports equipment,947,697,968,718,914,1024
00075905539074f2.jpg,Sports equipment,947,697,971,723,914,1024
00075905539074f2.jpg,Human arm,15,230,113,335,914,1024
00075905539074f2.jpg,Human arm,162,106,263,199,914,1024
00075905539074f2.jpg,Human arm,339,64,477,162,914,1024
00075905539074f2.jpg,Human arm,531,55,660,200,914,1024
00075905539074f2.jpg,Human arm,739,171,926,394,914,1024
00075905539074f2.jpg,Human arm,905,510,992,728,914,1024
00075905539074f2.jpg,Man,20,87,337,608,914,1024
